,Country Name,"Taux d'abandon cumulé en dernière année du premier cycle de l'enseignement secondaire général, hommes et femmes (%)","Taux de passage effectif du primaire au premier cycle de l'enseignement secondaire général, hommes et femmes (%)",Internautes,"Taux d'achèvement du premier cycle du secondaire, les deux sexes (%)","Taux de flux net d'étudiants en mobilité internationale (entrants - sortants), hommes et femmes (%)"
0,Afghanistan,0.6153009981044314,0.8667563985977854,0.6290741898929658,0.648506824613488,0.6694717830018282
1,Albania,0.6023171690318141,0.8955145260694765,0.7969990479825994,0.8897318637323152,0.5606095754242596
2,Algeria,0.6757825293221195,0.895278981473278,0.7264842295901012,0.8269393914554984,0.5939735486180991
3,Andorra,0.6328533406715967,0.54372091683263,0.8920525389789798,0.54372091683263,0.04811009289641749
4,Angola,0.6661389219577055,0.7551989698249282,0.636313813678595,0.6649727484573923,0.6661389219577055
5,Antigua and Barbuda,0.6791171635532713,0.6940050630649415,0.816982698763524,0.8706479270605235,0.5398696905174191
6,Arab World,0.7049931627400027,0.8584234313046909,0.7081857075414714,0.7988099495801767,0.7049931627400027
7,Argentina,0.6483477751522932,0.8902032515767895,0.8084032281725825,0.8661469416005608,0.5965499470878248
8,Armenia,0.6060141662281833,0.8979970370038183,0.783860069831287,0.9099487944931842,0.5892807944234848
9,Aruba,0.5977969538509678,0.8940792501314975,0.8788390693902155,0.8958455014910536,0.5891268952747994
10,Australia,0.7244394496371945,0.7244394496371945,0.8628685547649237,0.7244394496371945,0.6487561474084158
11,Austria,0.5979614227974205,0.8980767771085099,0.8510789260903838,0.8862705321005944,0.6364983375876694
12,Azerbaijan,0.6095689170912417,0.8966206644448164,0.8326406688042178,0.8563511075121736,0.5773442430630924
13,"Bahamas, The",0.6056949846920126,0.895343421402307,0.8380607353567657,0.8882759578277523,0.7137711118984251
14,Bahrain,0.6004381521039386,0.8979172968991259,0.8922613427670864,0.8958067915871626,0.5831056824369963
15,Bangladesh,0.6453129301738568,0.6611976883255475,0.6521131209880908,0.8008317322518869,0.5937894166898764
16,Barbados,0.6096725910011249,0.8952920302717408,0.8367039056762555,0.9004656950764109,0.6087809896328206
17,Belarus,0.5992236658419112,0.8934266264224555,0.8113008001177393,0.9271129726375861,0.58519376371617
18,Belgium,0.6138660366126302,0.8949363356474416,0.8576828818510314,0.8888139450855087,0.6171483679628831
19,Belize,0.7050282694867251,0.8873080953642936,0.731393043667689,0.802274382598856,0.703848005391302
20,Benin,0.6941704056375209,0.8608484402274962,0.6332847429694425,0.7284969240673868,0.6102025821366718
21,Bermuda,0.628058449979176,0.750064152763569,0.8922614008822445,0.8377637143790763,0.27979670155780423
22,Bhutan,0.6475882167695798,0.8952933167729978,0.722952507148263,0.8416657645842363,0.6986407661606857
23,Bolivia,0.6093245924111304,0.8891701910674893,0.7167039836339386,0.8696691293363809,0.6989023457505972
24,Bosnia and Herzegovina,0.6026851913103172,0.8967491307846138,0.8059348133331214,0.6811093377127995,0.5876386351558698
25,Botswana,0.6187121174197958,0.8906631757761356,0.7156967027476201,0.8583995161652546,0.5809082076299072
26,Brazil,0.6754449778115281,0.8838884831304752,0.7768824789824719,0.8132191312293757,0.5965445571267658
27,British Virgin Islands,0.9000480990657413,0.8956515614265743,0.9000480990657413,0.9044446367049084,0.9000480990657413
28,Brunei Darussalam,0.6014105122964011,0.8964278960154098,0.8230049949330216,0.9100347373717952,0.48172228609803003
29,Bulgaria,0.7610247299541956,0.8960376726163047,0.7773124718323183,0.7356018455044305,0.583350610164572
30,Burkina Faso,0.6830507789856993,0.8276753850406356,0.6392045158399539,0.6784627823916195,0.5911041048418568
31,Burundi,0.6604879706159428,0.8368682405845554,0.6127474449376291,0.6944889180781717,0.5866368864503197
32,Cabo Verde,0.6677180100435305,0.8928723051933837,0.7422016713712659,0.8271931768016607,0.49336401975771804
33,Cambodia,0.7047814450312921,0.8431771968019771,0.6741660131603923,0.7417002060607428,0.5890137362898011
34,Cameroon,0.6285035277242849,0.8016245156782217,0.6724475906955808,0.7343399600706756,0.5729781679358299
35,Canada,0.6948312912128848,0.6948312912128848,0.8676904325106942,0.6948312912128848,0.5985565159578583
36,Cayman Islands,0.6106456726968035,0.8878995643171587,0.835049587272017,0.6885333480935412,0.5938671947365687
37,Central African Republic,0.7780321157579116,0.824306704472649,0.6092134809158556,0.6354401299991131,0.615829244709814
38,Chad,0.6444314786687054,0.8832639786631915,0.6122246290006045,0.6498852073307038,0.5612067474831433
39,Channel Islands,0.6176446961274832,0.6176446961274832,0.6176446961274832,0.6176446961274832,0.6176446961274832
40,Chile,0.6057416871285448,0.890444953000432,0.7959347736511297,0.8789168909160869,0.5956463918739793
41,China,0.6334581915348574,0.8971529313666267,0.7573619666854974,0.8941238182107547,0.591730243280603
42,Colombia,0.6902048401761101,0.8931538422095168,0.7722264798441777,0.8309631538688572,0.7133384630532037
43,Comoros,0.6510448905775533,0.8760545634588786,0.6210723539848749,0.7408271541452714,0.3848995123057514
44,"Congo, Dem. Rep.",0.6265832580423779,0.8148792921817101,0.6158680400739692,0.7423959620217466,0.5967705437796139
45,"Congo, Rep.",0.6528876830185867,0.8273265594141187,0.6216252807252387,0.7535133545262963,0.5343719365188814
46,Costa Rica,0.6966156424952674,0.8490254017835305,0.7959911208135676,0.7752447269989186,0.7076364276160285
47,Cote d'Ivoire,0.6348244702279706,0.8762401412651881,0.6770462931661116,0.7026028815055142,0.5979014406634482
48,Croatia,0.5994280928300013,0.8976711386675584,0.8160712424557165,0.8896984836193457,0.5814516294939778
